! 25-05-2011
! Johan Albrecht Schmidt
! email: johanalbrechtschmidt@gmail.com
! Sup. mat. for Schmidt et al. (2011)
! 14N15N16O cross sections in units of cm^2
!	E_ph / cm-1			(0,0,0)				(0,1,0)				(0,2,0)				(0,3,0)				(1,0,0)				(1,1,0)
   3.9999999999980428e+04	   2.4463179864291429e-26	   2.0196485704587116e-25	   7.3143450540745705e-24	   1.1006292071243997e-22	   2.5023408096751522e-24	   6.5752916421518834e-23	
   4.0049999999980406e+04	   3.2343581911573972e-26	   2.4690746220368457e-25	   7.8935582906163364e-24	   1.2006406262104479e-22	   2.7630638034025961e-24	   7.1626442498429125e-23	
   4.0099999999980377e+04	   2.4344826428835075e-26	   1.9526943767153855e-25	   8.7294911549775601e-24	   1.3087040099966534e-22	   3.0725307745636960e-24	   7.8018249624366421e-23	
   4.0149999999980355e+04	   2.6503710172906829e-26	   3.1672994192564067e-25	   9.6004505595263576e-24	   1.4236441314126328e-22	   3.3866328766120642e-24	   8.5069577271539455e-23	
   4.0199999999980333e+04	   3.3067950984959944e-26	   3.0445655585513823e-25	   1.0424199707695845e-23	   1.5473547229700903e-22	   3.7408079746295053e-24	   9.2742051598475431e-23	
   4.0249999999980311e+04	   2.0155905667818493e-26	   3.1064359253712945e-25	   1.1641261743725841e-23	   1.6798793608634695e-22	   4.1257387351307928e-24	   1.0113251030885875e-22	
   4.0299999999980282e+04	   3.3379438879683236e-26	   4.3519536723121531e-25	   1.2746311564804693e-23	   1.8225309200361342e-22	   4.5296381681254847e-24	   1.1024774568624139e-22	
   4.0349999999980260e+04	   2.9992521681599428e-26	   3.9282351840472808e-25	   1.4012023748503969e-23	   1.9785625252460232e-22	   5.0026239510383898e-24	   1.2010031655300894e-22	
   4.0399999999980238e+04	   2.0111722353601626e-26	   4.8297306848609303e-25	   1.5548315938304114e-23	   2.1471339534596709e-22	   5.5036983895216215e-24	   1.3079068755978658e-22	
   4.0449999999980209e+04	   4.1950705337610831e-26	   5.5472719825356161e-25	   1.6929056918504203e-23	   2.3303266527201596e-22	   6.0468474905175142e-24	   1.4229808371942724e-22	
   4.0499999999980188e+04	   2.1636239207228773e-26	   5.3486807260638429e-25	   1.8678673379950544e-23	   2.5292791279724739e-22	   6.6506161876537859e-24	   1.5473723231615775e-22	
   4.0549999999980166e+04	   2.7595233855944349e-26	   7.0520498930219664e-25	   2.0536427697144467e-23	   2.7436844378572742e-22	   7.2763691946045133e-24	   1.6820298115449426e-22	
   4.0599999999980137e+04	   4.3005393517597569e-26	   7.2142323631148782e-25	   2.2411459713140950e-23	   2.9755599661179092e-22	   7.9716722549077739e-24	   1.8261096190645976e-22	
   4.0649999999980115e+04	   1.0028282828552218e-26	   7.5781878416863439e-25	   2.4719054942635924e-23	   3.2244568485813476e-22	   8.7361910957913834e-24	   1.9811972492376058e-22	
   4.0699999999980093e+04	   4.2011257145493735e-26	   9.2764598585889477e-25	   2.6961423139180919e-23	   3.4912549052056405e-22	   9.5662270095954902e-24	   2.1477974401299133e-22	
   4.0749999999980064e+04	   3.1546648800243332e-26	   9.4199163858987492e-25	   2.9441479361017248e-23	   3.7784957694620059e-22	   1.0501372249877102e-23	   2.3267247544199786e-22	
   4.0799999999980042e+04	   7.2523133522317945e-27	   1.0824120381274747e-24	   3.2274433820607632e-23	   4.0850093699029404e-22	   1.1507273929592618e-23	   2.5202353673571824e-22	
   4.0849999999980013e+04	   5.9639172592406247e-26	   1.2227332787198500e-24	   3.5084083199107703e-23	   4.4131029181209657e-22	   1.2604819273996264e-23	   2.7286647165503158e-22	
   4.0899999999979984e+04	   1.9077513533988697e-26	   1.2711358210162683e-24	   3.8413228243230372e-23	   4.7643960627526995e-22	   1.3817102589206223e-23	   2.9537801392082927e-22	
   4.0949999999979962e+04	   3.3764967414949615e-26	   1.5157955549240688e-24	   4.1982062736048872e-23	   5.1396484340655755e-22	   1.5106242534155964e-23	   3.1972177033044959e-22	
   4.0999999999979940e+04	   6.6761449383179473e-26	   1.6179218030572350e-24	   4.5723697955512464e-23	   5.5423509642664713e-22	   1.6527209043479369e-23	   3.4592567521029952e-22	
   4.1049999999979911e+04	   1.8922268856112365e-26	   1.7530266411239591e-24	   5.0096691074041446e-23	   5.9732188593792544e-22	   1.8072427018400292e-23	   3.7416490486758516e-22	
   4.1099999999979889e+04	   7.2195601018056179e-26	   2.0340045328409803e-24	   5.4584707744855609e-23	   6.4349837915198271e-22	   1.9731673420353099e-23	   4.0450634954708192e-22	
